;NOMBRE;NOMBRE-VIA;TIPO DE LUGAR;DISTRITO;DISTANCIA_SEDES;name;address;DISTANCIA_BICIS;DISTANCIA TOTAL
116;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Ferraz;Calle Evaristo San Miguel nº 2;POINT (4500134.319725253 -414070.0873872812);6994.161209271071
13;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Conde Duque;Calle Conde Duque nº 22;POINT (4500349.388981465 -413333.4868775574);7044.528143977751
14;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Ventura Rodríguez;Calle Duque de Liria;POINT (4500212.388084146 -413672.3083719324);7046.703668020493
255;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Pío XII;Avenida Pío XII nº 3;POINT (4504032.238487074 -409616.4103570187);7063.813784705729
263;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Zurbano;Calle Zurbano nº 90;POINT (4501578.756909991 -411366.6317244973);7069.63894733124
138;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Serrano 210;Calle Serrano nº 210;POINT (4502986.814885137 -410138.0377956042);7094.765461718317
153;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);José Gutiérrez Abascal ;Calle José Gutiérrez Abascal nº 2;POINT (4501724.496387337 -411140.004762102);7118.301278763834
12;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Hermenegildo;Calle San Bernardo nº 85;POINT (4500471.640046255 -412859.5425631495);7134.962933712417
146;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de la República Argentina;Plaza de la República Argentina nº 6;POINT (4502362.557444666 -410532.3668441684);7139.264305420794
158;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);General Martínez Campos ;Calle Fernández de la Hoz nº 29;POINT (4501235.336280893 -411595.6017840904);7182.253359390967
