,NOMBRE,NOMBRE-VIA,DISTRITO,LATITUD,LONGITUD,DISTANCIA_SEDES
16,Centro Deportivo Municipal Centro Integrado Arganzuela,CANARIAS,ARGANZUELA,40.40207279862862,-3.6955325387824014,POINT (4497538.170936108 -411670.3343955348)
17,Centro Deportivo Municipal Cerro Almodóvar,CERRO DE ALMODOVAR,VILLA DE VALLECAS,40.38168570611539,-3.602336460953483,POINT (4495268.690178779 -401274.7186681543)
18,Centro Deportivo Municipal Chamartín,PIO XII,CHAMARTIN,40.46113349830694,-3.676208246061129,POINT (4504112.777950193 -409514.7050448444)
19,Centro Deportivo Municipal Circuito BMX,EMBAJADORES,ARGANZUELA,40.385539006771225,-3.6898722494765366,POINT (4495697.63764566 -411038.9229541846)
20,Centro Deportivo Municipal Ciudad de los Poetas,ANTONIO MACHADO,MONCLOA-ARAVACA,40.465920678080856,-3.718932559465857,POINT (4504645.684364961 -414280.6750318132)
21,Centro Deportivo Municipal Concepción,JOSE DEL HIERRO,CIUDAD LINEAL,40.43725652047252,-3.6484498132292025,POINT (4501454.804935983 -406418.3270805763)
22,Centro Deportivo Municipal Daoíz y Velarde 1,DAOÍZ Y VELARDE,RETIRO,40.40236990974131,-3.6772808932293217,POINT (4497571.245193881 -409634.3578593663)
23,Centro Deportivo Municipal Daoíz y Velarde 2,ALBERCHE,RETIRO,40.40079918971232,-3.6778902970366896,POINT (4497396.393440075 -409702.336363088)
24,Centro Deportivo Municipal El Espinillo,VILLAVERDE A VALLECAS,VILLAVERDE,40.35634193991933,-3.686595141820635,POINT (4492447.43503105 -410673.3598624719)
25,Centro Deportivo Municipal El Olivillo,OLIVILLO,LATINA,40.40652470221465,-3.745889233801086,POINT (4498033.754576365 -417287.8566902932)
26,Centro Deportivo Municipal Entrevías,SUR,PUENTE DE VALLECAS,40.378413212706285,-3.674532317137481,POINT (4494904.397878853 -409327.7569881299)
27,Centro Deportivo Municipal Escuelas de San Antón,FARMACIA,CENTRO,40.42382670120857,-3.699010103263697,POINT (4499959.804294074 -412058.2625013213)
28,Centro Deportivo Municipal Estanque del Retiro,COLOMBIA,RETIRO,40.418436005960814,-3.684503131951572,POINT (4499359.714844072 -410439.9957600642)
29,Centro Deportivo Municipal Fabián Roncero,SEPTIMA,SAN BLAS-CANILLEJAS,40.44965684114441,-3.597577201182505,POINT (4502835.202318851 -400743.8728158274)
30,Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),LADERA DE LOS ALMENDROS,VICALVARO,40.40418961057298,-3.622901144863193,POINT (4497773.813363858 -403568.5269047874)
31,Centro Deportivo Municipal Félix Rubio,ALIANZA,VILLAVERDE,40.357429678675295,-3.691528804696943,POINT (4492568.521555481 -411223.7130778909)
32,Centro Deportivo Municipal Fernando Martín,SANTO ANGEL DE LA GUARDA,MONCLOA-ARAVACA,40.46093540462317,-3.712191829928863,POINT (4504090.726262186 -413528.7198824321)
33,Centro Deportivo Municipal Francisco Fernández Ochoa,CATORCE OLIVAS,CARABANCHEL,40.36581776978113,-3.740893980533789,POINT (4493502.279586109 -416730.5987078679)
34,Centro Deportivo Municipal Francos Rodríguez,NUMANCIA,MONCLOA-ARAVACA,40.45358753138912,-3.713093094582233,POINT (4503272.764755357 -413629.2592010797)
35,Centro Deportivo Municipal Fuente del Berro,ELVIRA,SALAMANCA,40.42171956854877,-3.6652515154670167,POINT (4499725.239359351 -408292.4999637826)
36,Centro Deportivo Municipal Gallur,GALLUR,LATINA,40.398465832065,-3.7353834506869217,POINT (4497136.645254936 -416115.8614415859)
37,Centro Deportivo Municipal Gimnasio Moscardó,PILAR DE ZARAGOZA,SALAMANCA,40.437945289677,-3.674502029997267,POINT (4501531.478373099 -409324.3784936657)
38,Centro Deportivo Municipal Hortaleza,ESTACION DE HORTALEZA,HORTALEZA,40.4787279264401,-3.6527183525553006,POINT (4506071.380730774 -406894.4648339559)
39,Centro Deportivo Municipal José María Cagigal,SANTA POLA,MONCLOA-ARAVACA,40.43214955342785,-3.736964599283136,POINT (4500886.299965071 -416292.2489787623)
40,Centro Deportivo Municipal La Almudena,NICOLAS SALMERÓN,CIUDAD LINEAL,40.42060649869604,-3.6324237307227616,POINT (4499601.332990128 -404630.7046037836)
41,Centro Deportivo Municipal La Bombilla,SENDA DEL REY,MONCLOA-ARAVACA,40.43266791217288,-3.731947836490648,POINT (4500944.003396617 -415732.5971510481)
42,Centro Deportivo Municipal La Chopera,FERNAN NUÑEZ,RETIRO,40.41167030849678,-3.685675652101215,POINT (4498606.560847514 -410570.7905401916)
43,Centro Deportivo Municipal La Elipa,ALCALDE GARRIDO JUARISTI,MORATALAZ,40.41433123768487,-3.6559498758522833,POINT (4498902.774129769 -407254.9292817101)
44,Centro Deportivo Municipal La Fundi,ALICANTE,ARGANZUELA,40.39437715885103,-3.691341060146108,POINT (4496681.496234737 -411202.7699985218)
45,Centro Deportivo Municipal La Masó,MASO,FUENCARRAL-EL PARDO,40.48442599932086,-3.7144222564719858,POINT (4506705.687302364 -413777.5321851289)
46,Centro Deportivo Municipal La Mina,MONSEÑOR OSCAR ROMERO,CARABANCHEL,40.38234955664604,-3.746482524823702,POINT (4495342.589681813 -417354.0429667057)
47,Centro Deportivo Municipal Lago Casa de Campo,EMBARCADERO,MONCLOA-ARAVACA,40.417013097503705,-3.7314952685679934,POINT (4499201.317399181 -415682.1104753327)
48,Centro Deportivo Municipal Las Cruces,POBLADOS,LATINA,40.379148937377394,-3.756554762411969,POINT (4494986.298374604 -418477.6870842113)
